#step	time	stress_0_0	stress_0_1	stress_0_2	strain_0_0	strain_0_1	strain_0_2	stress_1_0	stress_1_1	stress_1_2	strain_1_0	strain_1_1	strain_1_2	stress_2_0	stress_2_1	stress_2_2	strain_2_0	strain_2_1	strain_2_2	stress_3_0	stress_3_1	stress_3_2	strain_3_0	strain_3_1	strain_3_2	stress_4_0	stress_4_1	stress_4_2	strain_4_0	strain_4_1	strain_4_2	stress_5_0	stress_5_1	stress_5_2	strain_5_0	strain_5_1	strain_5_2	stress_6_0	stress_6_1	stress_6_2	strain_6_0	strain_6_1	strain_6_2	stress_7_0	stress_7_1	stress_7_2	strain_7_0	strain_7_1	strain_7_2	stress_8_0	stress_8_1	stress_8_2	strain_8_0	strain_8_1	strain_8_2	stress_9_0	stress_9_1	stress_9_2	strain_9_0	strain_9_1	strain_9_2	stress_10_0	stress_10_1	stress_10_2	strain_10_0	strain_10_1	strain_10_2	stress_11_0	stress_11_1	stress_11_2	strain_11_0	strain_11_1	strain_11_2
1	1.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	3.4641016151e+06	8.1649658093e-04	0.0000000000e+00	5.7735026919e-04	0.0000000000e+00	0.0000000000e+00	3.4641016151e+06	8.1649658093e-04	0.0000000000e+00	5.7735026919e-04	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	-3.4641016151e+06	8.1649658093e-04	0.0000000000e+00	-5.7735026919e-04	0.0000000000e+00	0.0000000000e+00	-3.4641016151e+06	8.1649658093e-04	0.0000000000e+00	-5.7735026919e-04	0.0000000000e+00	3.4641016151e+06	0.0000000000e+00	8.1649658093e-04	5.7735026919e-04	0.0000000000e+00	0.0000000000e+00	3.4641016151e+06	0.0000000000e+00	8.1649658093e-04	5.7735026919e-04	0.0000000000e+00
2	2.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6567989136e+06	0.0000000000e+00	3.7572810562e+05	1.6329931619e-03	0.0000000000e+00	1.1547005384e-03	2.6567989136e+06	0.0000000000e+00	3.7572810562e+05	1.6329931619e-03	0.0000000000e+00	1.1547005384e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.6567989136e+06	0.0000000000e+00	-3.7572810562e+05	1.6329931619e-03	0.0000000000e+00	-1.1547005384e-03	2.6567989136e+06	0.0000000000e+00	-3.7572810562e+05	1.6329931619e-03	0.0000000000e+00	-1.1547005384e-03	2.6567989136e+06	3.7572810562e+05	0.0000000000e+00	1.6329931619e-03	1.1547005384e-03	0.0000000000e+00	2.6567989136e+06	3.7572810562e+05	0.0000000000e+00	1.6329931619e-03	1.1547005384e-03	0.0000000000e+00
3	3.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4945880966e+06	0.0000000000e+00	3.5278803187e+05	2.4494897428e-03	0.0000000000e+00	1.7320508076e-03	2.4945880966e+06	0.0000000000e+00	3.5278803187e+05	2.4494897428e-03	0.0000000000e+00	1.7320508076e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.4945880966e+06	0.0000000000e+00	-3.5278803187e+05	2.4494897428e-03	0.0000000000e+00	-1.7320508076e-03	2.4945880966e+06	0.0000000000e+00	-3.5278803187e+05	2.4494897428e-03	0.0000000000e+00	-1.7320508076e-03	2.4945880966e+06	3.5278803187e+05	0.0000000000e+00	2.4494897428e-03	1.7320508076e-03	0.0000000000e+00	2.4945880966e+06	3.5278803187e+05	0.0000000000e+00	2.4494897428e-03	1.7320508076e-03	0.0000000000e+00
4	4.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3422810585e+06	0.0000000000e+00	3.3124856398e+05	3.2659863237e-03	0.0000000000e+00	2.3094010767e-03	2.3422810585e+06	0.0000000000e+00	3.3124856398e+05	3.2659863237e-03	0.0000000000e+00	2.3094010767e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.3422810585e+06	0.0000000000e+00	-3.3124856398e+05	3.2659863237e-03	0.0000000000e+00	-2.3094010767e-03	2.3422810585e+06	0.0000000000e+00	-3.3124856398e+05	3.2659863237e-03	0.0000000000e+00	-2.3094010767e-03	2.3422810585e+06	3.3124856398e+05	0.0000000000e+00	3.2659863237e-03	2.3094010768e-03	0.0000000000e+00	2.3422810585e+06	3.3124856398e+05	0.0000000000e+00	3.2659863237e-03	2.3094010768e-03	0.0000000000e+00
5	5.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1992731242e+06	0.0000000000e+00	3.1102418797e+05	4.0824829046e-03	0.0000000000e+00	2.8867513459e-03	2.1992731242e+06	0.0000000000e+00	3.1102418797e+05	4.0824829046e-03	0.0000000000e+00	2.8867513459e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.1992731242e+06	0.0000000000e+00	-3.1102418797e+05	4.0824829046e-03	0.0000000000e+00	-2.8867513459e-03	2.1992731242e+06	0.0000000000e+00	-3.1102418797e+05	4.0824829046e-03	0.0000000000e+00	-2.8867513459e-03	2.1992731242e+06	3.1102418797e+05	0.0000000000e+00	4.0824829046e-03	2.8867513459e-03	0.0000000000e+00	2.1992731242e+06	3.1102418797e+05	0.0000000000e+00	4.0824829046e-03	2.8867513459e-03	0.0000000000e+00
6	6.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0649965373e+06	0.0000000000e+00	2.9203461092e+05	4.8989794856e-03	0.0000000000e+00	3.4641016151e-03	2.0649965373e+06	0.0000000000e+00	2.9203461092e+05	4.8989794856e-03	0.0000000000e+00	3.4641016151e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	2.0649965373e+06	0.0000000000e+00	-2.9203461092e+05	4.8989794856e-03	0.0000000000e+00	-3.4641016151e-03	2.0649965373e+06	0.0000000000e+00	-2.9203461092e+05	4.8989794856e-03	0.0000000000e+00	-3.4641016151e-03	2.0649965373e+06	2.9203461092e+05	0.0000000000e+00	4.8989794856e-03	3.4641016151e-03	0.0000000000e+00	2.0649965373e+06	2.9203461092e+05	0.0000000000e+00	4.8989794856e-03	3.4641016151e-03	0.0000000000e+00
7	7.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9389182052e+06	0.0000000000e+00	2.7420444222e+05	5.7154760665e-03	0.0000000000e+00	4.0414518843e-03	1.9389182052e+06	0.0000000000e+00	2.7420444222e+05	5.7154760665e-03	0.0000000000e+00	4.0414518843e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.9389182052e+06	0.0000000000e+00	-2.7420444222e+05	5.7154760665e-03	0.0000000000e+00	-4.0414518843e-03	1.9389182052e+06	0.0000000000e+00	-2.7420444222e+05	5.7154760665e-03	0.0000000000e+00	-4.0414518843e-03	1.9389182052e+06	2.7420444222e+05	0.0000000000e+00	5.7154760665e-03	4.0414518843e-03	0.0000000000e+00	1.9389182052e+06	2.7420444222e+05	0.0000000000e+00	5.7154760665e-03	4.0414518843e-03	0.0000000000e+00
8	8.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8205375839e+06	0.0000000000e+00	2.5746289419e+05	6.5319726474e-03	0.0000000000e+00	4.6188021535e-03	1.8205375839e+06	0.0000000000e+00	2.5746289419e+05	6.5319726474e-03	0.0000000000e+00	4.6188021535e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.8205375839e+06	0.0000000000e+00	-2.5746289419e+05	6.5319726474e-03	0.0000000000e+00	-4.6188021535e-03	1.8205375839e+06	0.0000000000e+00	-2.5746289419e+05	6.5319726474e-03	0.0000000000e+00	-4.6188021535e-03	1.8205375839e+06	2.5746289419e+05	0.0000000000e+00	6.5319726474e-03	4.6188021535e-03	0.0000000000e+00	1.8205375839e+06	2.5746289419e+05	0.0000000000e+00	6.5319726474e-03	4.6188021535e-03	0.0000000000e+00
9	9.000000e-02	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.7093846895e+06	0.0000000000e+00	2.4174350112e+05	7.3484692284e-03	0.0000000000e+00	5.1961524227e-03	1.7093846895e+06	0.0000000000e+00	2.4174350112e+05	7.3484692284e-03	0.0000000000e+00	5.1961524227e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.7093846895e+06	0.0000000000e+00	-2.4174350112e+05	7.3484692284e-03	0.0000000000e+00	-5.1961524227e-03	1.7093846895e+06	0.0000000000e+00	-2.4174350112e+05	7.3484692284e-03	0.0000000000e+00	-5.1961524227e-03	1.7093846895e+06	2.4174350112e+05	0.0000000000e+00	7.3484692283e-03	5.1961524227e-03	0.0000000000e+00	1.7093846895e+06	2.4174350112e+05	0.0000000000e+00	7.3484692283e-03	5.1961524227e-03	0.0000000000e+00
10	1.000000e-01	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6050182334e+06	0.0000000000e+00	2.2698385535e+05	8.1649658093e-03	0.0000000000e+00	5.7735026919e-03	1.6050182334e+06	0.0000000000e+00	2.2698385535e+05	8.1649658093e-03	0.0000000000e+00	5.7735026919e-03	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00	1.6050182334e+06	0.0000000000e+00	-2.2698385535e+05	8.1649658093e-03	0.0000000000e+00	-5.7735026919e-03	1.6050182334e+06	0.0000000000e+00	-2.2698385535e+05	8.1649658093e-03	0.0000000000e+00	-5.7735026919e-03	1.6050182334e+06	2.2698385535e+05	0.0000000000e+00	8.1649658093e-03	5.7735026919e-03	0.0000000000e+00	1.6050182334e+06	2.2698385535e+05	0.0000000000e+00	8.1649658093e-03	5.7735026919e-03	0.0000000000e+00
